Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: ((((cars (((parked near) a) all)) black) corner) store)	Gold Tree: (cars (parked (near (a ((all black) (corner store))))))
Pred Tree: ((various foods) (((((are sitting) in) bowls) and) plates))	Gold Tree: ((various foods) (are (sitting (in (bowls (and plates))))))
Pred Tree: (((a bus) ((((is parked) on) a) wet)) street)	Gold Tree: ((a bus) (is (parked (on (a (wet street))))))
Pred Tree: (((old woman) ((rowing a) boat)) ((with a) dog))	Gold Tree: ((old woman) (rowing ((a boat) (with (a dog)))))
Pred Tree: (((two plates) ((with food) ((sitting on) a))) table)	Gold Tree: ((two plates) (with (food (sitting (on (a table))))))
Pred Tree: (((((a couple) of) young) kids) ((are sitting) together))	Gold Tree: (((a couple) (of (young kids))) (are (sitting together)))
Pred Tree: ((two dogs) (((on the) snow) ((playing frisbee) together)))	Gold Tree: ((two dogs) ((on (the snow)) (playing (frisbee together))))
Pred Tree: ((two men) (((on motorcycles) at) (a (stop light))))	Gold Tree: ((two men) ((on motorcycles) (at (a (stop light)))))
Pred Tree: ((((a quarter) of) (a cake)) ((on a) plate))	Gold Tree: ((a quarter) (of ((a cake) (on (a plate)))))
Pred Tree: ((((nice large) hotel) room) ((separated into) (two parts)))	Gold Tree: ((nice (large (hotel room))) (separated (into (two parts))))
Pred Tree: ((a lovely) ((dinner and) (((a bottle) of) wine)))	Gold Tree: ((a (lovely dinner)) (and ((a bottle) (of wine))))
Pred Tree: (((((a small) plastic) dish) with) (food (in it)))	Gold Tree: ((a (small (plastic dish))) (with (food (in it))))
Pred Tree: (((a table) (top (sitting ((inside of) a)))) kitchen)	Gold Tree: ((a (table top)) (sitting (inside (of (a kitchen)))))
Pred Tree: (((the little) boy) ((is sitting) ((on the) bed)))	Gold Tree: ((the (little boy)) (is (sitting (on (the bed)))))
Pred Tree: (((a women) ((<unk> a) cake)) ((that is) blue))	Gold Tree: ((a women) (<unk> ((a cake) (that (is blue)))))
Pred Tree: (((an old) opened) ((trunk in) ((an abandoned) house)))	Gold Tree: ((an (old (opened trunk))) (in (an (abandoned house))))
Pred Tree: (((((a low) flying) commercial) plane) ((passing tall) buildings))	Gold Tree: ((a (low (flying (commercial plane)))) (passing (tall buildings)))
Pred Tree: ((((a fluffy) cat) (((laying in) an) orange)) chair)	Gold Tree: ((a (fluffy cat)) (laying (in (an (orange chair)))))
Pred Tree: (((a red) train) (is (((coming down) the) tracks)))	Gold Tree: ((a (red train)) (is (coming (down (the tracks)))))
Pred Tree: ((a book) (((rest on) one) ((of the) benches)))	Gold Tree: ((a book) (rest (on (one (of (the benches))))))
Pred Tree: ((((a calico) kitty) (((sleeping in) an) orange)) chair)	Gold Tree: ((a (calico kitty)) (sleeping (in (an (orange chair)))))
Pred Tree: ((a person) ((riding skis) (((on a) snowy) slope)))	Gold Tree: ((a person) (riding (skis (on (a (snowy slope))))))
Pred Tree: ((((red and) yellow) train) (((on a) train) track))	Gold Tree: (((red (and yellow)) train) (on (a (train track))))
Pred Tree: (((a desk) with) (((a cup) and) (a keyboard)))	Gold Tree: ((a desk) (with ((a cup) (and (a keyboard)))))
Pred Tree: ((two boats) (((((on shore) near) an) ocean) .))	Gold Tree: ((two boats) ((on shore) ((near (an ocean)) .)))
Pred Tree: (((a low) (flying (((pane lands) in) the))) uk)	Gold Tree: ((a (low (flying pane))) (lands (in (the uk))))
Pred Tree: (((((spectators watch) (cross country)) ski) competitors) (fly by))	Gold Tree: (spectators (watch ((cross (country (ski competitors))) (fly by))))
Pred Tree: ((wooden spoons) (((are lined) up) ((on a) table)))	Gold Tree: ((wooden spoons) (are (lined (up (on (a table))))))
Pred Tree: ((two (black bags)) (placed (((standing on) the) ground)))	Gold Tree: ((two (black bags)) (placed (standing (on (the ground)))))
Pred Tree: ((((a (street light)) has) the) ((red lights) glowing))	Gold Tree: ((a (street light)) (has ((the (red lights)) glowing)))
Pred Tree: ((a (hot dog)) (pastry ((and a) (pile of))))	Gold Tree: ((a (hot (dog pastry))) (and ((a pile) of)))
Pred Tree: ((((a person) ((at a) dinner)) table) (eating salad))	Gold Tree: (((a person) (at (a (dinner table)))) (eating salad))
Pred Tree: (((((an open) chest) ((in a) run)) down) apartment)	Gold Tree: ((an (open chest)) (in (a ((run down) apartment))))
Pred Tree: (((the bathroom) is) ((a (washing machine)) (in it)))	Gold Tree: ((the bathroom) (is ((a (washing machine)) (in it))))
Pred Tree: ((((apples and) oranges) (grouped together)) ((in a) bowl))	Gold Tree: ((apples (and oranges)) (grouped (together (in (a bowl)))))
Pred Tree: (((a person) ((throwing a) baseball)) ((onto the) field))	Gold Tree: ((a person) (throwing ((a baseball) (onto (the field)))))
Pred Tree: ((((a group) of) birds) (flying ((over the) water)))	Gold Tree: ((a group) ((of birds) (flying (over (the water)))))
Pred Tree: ((((a black) cat) (((sitting in) a) bathroom)) sink)	Gold Tree: ((a (black cat)) (sitting (in (a (bathroom sink)))))
Pred Tree: ((three cups) ((((that are) next) to) (a microwave)))	Gold Tree: ((three cups) (that (are (next (to (a microwave))))))
Pred Tree: (((a clean) toilet) (in (((a small) tiled) bathroom)))	Gold Tree: ((a (clean toilet)) (in (a (small (tiled bathroom)))))
Pred Tree: ((a batter) (((readies to) swing) ((at first) plate)))	Gold Tree: ((a batter) (readies (to (swing (at (first plate))))))
Pred Tree: (((the apple) has) (words ((on it) (in chinese))))	Gold Tree: ((the apple) (has (words ((on it) (in chinese)))))
Pred Tree: ((there is) (((a brown) box) ((on the) toilet)))	Gold Tree: (there (is ((a (brown box)) (on (the toilet)))))
Pred Tree: ((((a cat) standing) on) (((red colored) travel) luggage))	Gold Tree: ((a cat) (standing (on ((red colored) (travel luggage)))))
Pred Tree: ((((a tall) glass) vase) (((on a) balcony) .))	Gold Tree: ((a (tall (glass vase))) ((on (a balcony)) .))
Pred Tree: (((a city) clock) ((((on a) very) beautiful) house))	Gold Tree: ((a (city clock)) (on (a ((very beautiful) house))))
Pred Tree: (((a horse) ((((eating grass) in) a) green)) field)	Gold Tree: ((a horse) (eating (grass (in (a (green field))))))
Pred Tree: ((dozens of) ((kite skiers) (((out in) the) ocean)))	Gold Tree: (dozens ((of (kite skiers)) (out (in (the ocean)))))
Pred Tree: (((a while) horse) ((bending down) ((eating grass) .)))	Gold Tree: ((a while) (horse ((bending (down (eating grass))) .)))
Pred Tree: (((there are) ((blue lights) shining)) ((threw palm) trees))	Gold Tree: (there (are ((blue lights) (shining (threw (palm trees))))))
Pred Tree: (people (((in the) water) (((and parachutes) overhead) .)))	Gold Tree: (people ((in (the water)) (and ((parachutes overhead) .))))
Pred Tree: (((((a small) blond) boy) ((has a) red)) apple)	Gold Tree: ((a (small (blond boy))) (has (a (red apple))))
Pred Tree: ((bike riders) ((passing burger) (((king in) city) street)))	Gold Tree: ((bike riders) (passing ((burger king) (in (city street)))))
Pred Tree: ((an <unk>) (((full of) chairs) ((and some) tables)))	Gold Tree: ((an <unk>) ((full (of chairs)) (and (some tables))))
Pred Tree: (elephants (((and their) riders) (((performing at) a) circus)))	Gold Tree: ((elephants (and (their riders))) (performing (at (a circus))))
Pred Tree: ((eight oranges) (((((sitting in) a) white) bowl) .))	Gold Tree: ((eight oranges) ((sitting (in (a (white bowl)))) .))
Pred Tree: ((a vase) ((((with some) flowers) near) (a window)))	Gold Tree: (((a vase) (with (some flowers))) (near (a window)))
Pred Tree: ((a ((picture of) ((a small) clean))) (kitchen .))	Gold Tree: ((a picture) ((of (a (small (clean kitchen)))) .))
Pred Tree: ((((some thick) crust) pizza) (((and some) green) grapes))	Gold Tree: ((some (thick (crust pizza))) (and (some (green grapes))))
Pred Tree: (people ((on bicycles) ((((ride down) a) busy) street)))	Gold Tree: ((people (on bicycles)) (ride (down (a (busy street)))))
Pred Tree: ((((two guys) (cross country)) ski) ((in a) race))	Gold Tree: ((two guys) (cross ((country ski) (in (a race)))))
Pred Tree: (((two (cross country)) skiers) (((heading onto) the) trail))	Gold Tree: ((two (cross (country skiers))) (heading (onto (the trail))))
Pred Tree: (((a bathroom) with) (((a mirror) and) (a sink)))	Gold Tree: ((a bathroom) (with ((a mirror) (and (a sink)))))
Pred Tree: (((a little) girl) (is (((sitting at) a) table)))	Gold Tree: ((a (little girl)) (is (sitting (at (a table)))))
Pred Tree: ((two guys) (((making silly) faces) ((for a) picture)))	Gold Tree: ((two guys) (making ((silly faces) (for (a picture)))))
Pred Tree: (((a black) motorcycle) ((is parked) ((on the) grass)))	Gold Tree: ((a (black motorcycle)) (is (parked (on (the grass)))))
Pred Tree: ((several people) ((hold umbrellas) (((in a) rain) storm)))	Gold Tree: ((several people) (hold (umbrellas (in (a (rain storm))))))
Pred Tree: (((two little) kids) ((going toward) ((the school) bus)))	Gold Tree: ((two (little kids)) (going (toward (the (school bus)))))
Pred Tree: ((((holding a) (waffle cone)) ((with a) banana)) inside)	Gold Tree: (holding (((a (waffle cone)) (with (a banana))) inside))
Pred Tree: (((two people) ((((are posing) for) a) photograph)) together)	Gold Tree: ((two people) (are (posing ((for (a photograph)) together))))
Pred Tree: ((cars ((((traveling on) a) busy) road)) (in asia))	Gold Tree: (cars (traveling ((on (a (busy road))) (in asia))))
Pred Tree: ((a person) (((((standing next) to) many) luggage) bags))	Gold Tree: ((a person) (standing (next (to (many (luggage bags))))))
Pred Tree: (((a zebra) is) (standing ((on dirt) (and grass))))	Gold Tree: ((a zebra) (is (standing (on (dirt (and grass))))))
Pred Tree: ((((a person) feeding) (a cat)) ((with a) banana))	Gold Tree: ((a person) (feeding ((a cat) (with (a banana)))))
Pred Tree: (((((two slices) of) pizza) ((on a) black)) plate)	Gold Tree: ((two slices) ((of pizza) (on (a (black plate)))))
Pred Tree: ((a horse) ((((running through) the) woods) (fast outside)))	Gold Tree: ((a horse) (running ((through (the woods)) (fast outside))))
Pred Tree: (((a large) (air plane)) (flying ((in the) air)))	Gold Tree: ((a (large (air plane))) (flying (in (the air))))
Pred Tree: ((children (learning to)) ((((make their) own) kites) .))	Gold Tree: (children ((learning (to (make (their (own kites))))) .))
Pred Tree: ((children are) ((making kites) (((at a) table) .)))	Gold Tree: (children ((are (making (kites (at (a table))))) .))
Pred Tree: (((a white) bird) ((((is standing) on) a) beach))	Gold Tree: ((a (white bird)) (is (standing (on (a beach)))))
Pred Tree: (((a train) ((on a) track)) ((near some) buildings))	Gold Tree: ((a train) ((on (a track)) (near (some buildings))))
Pred Tree: (((couple plays) ((with a) frisbee)) ((in the) park))	Gold Tree: (couple (plays (with ((a frisbee) (in (the park))))))
Pred Tree: (((((an empty) area) at) ((a large) train)) station)	Gold Tree: ((an (empty area)) (at (a (large (train station)))))
Pred Tree: ((((((a bunch) of) baby) chickens) in) (four boxes))	Gold Tree: ((a bunch) ((of (baby chickens)) (in (four boxes))))
Pred Tree: ((a train) ((passing by) (((a bunch) of) buildings)))	Gold Tree: ((a train) (passing (by ((a bunch) (of buildings)))))
Pred Tree: ((some animals) (are ((standing out) ((in the) water))))	Gold Tree: ((some animals) (are (standing (out (in (the water))))))
Pred Tree: ((((((elaborate <unk>) blue) <unk>) professional) baseball) (cap cake))	Gold Tree: (elaborate (<unk> (blue (<unk> (professional (baseball (cap cake)))))))
Pred Tree: (family (((((posing on) the) ski) slopes) (wearing skis)))	Gold Tree: ((family posing) ((on (the (ski slopes))) (wearing skis)))
Pred Tree: (((broccoli and) veggies) ((((on a) pillow) with) designs))	Gold Tree: ((broccoli (and veggies)) ((on (a pillow)) (with designs)))
Pred Tree: ((((a number) of) motorbikes) (((parked on) an) alley))	Gold Tree: (((a number) (of motorbikes)) (parked (on (an alley))))
Pred Tree: (person ((((getting ready) to) ski) ((down a) slope)))	Gold Tree: (person (getting (ready (to (ski (down (a slope)))))))
Pred Tree: (people ((are getting) ((((onto a) stopped) city) bus)))	Gold Tree: (people (are (getting (onto (a (stopped (city bus)))))))
Pred Tree: (((there is) ((a green) clock)) ((in the) street))	Gold Tree: (there (is ((a (green clock)) (in (the street)))))
Pred Tree: (((two large) birds) (strutting (((inside of) a) fence)))	Gold Tree: ((two (large birds)) (strutting (inside (of (a fence)))))
Pred Tree: (((a black) (parking meter)) (((on a) green) pole))	Gold Tree: ((a (black (parking meter))) (on (a (green pole))))
Pred Tree: ((((a person) is) (skiing ((down a) snowy))) slope)	Gold Tree: ((a person) (is (skiing (down (a (snowy slope))))))
Pred Tree: ((((a couple) of) giraffes) (((reach for) a) basket))	Gold Tree: (((a couple) (of giraffes)) (reach (for (a basket))))
Pred Tree: ((fresh organic) (((vegetables and) herbs) ((from the) garden)))	Gold Tree: ((fresh (organic (vegetables (and herbs)))) (from (the garden)))
Pred Tree: ((((a blue) small) plane) (((standing at) the) airstrip))	Gold Tree: ((a (blue (small plane))) (standing (at (the airstrip))))
Pred Tree: ((the boat) (((is tied) up) ((on the) lake)))	Gold Tree: ((the boat) (is (tied (up (on (the lake))))))
Pred Tree: (((a large) (air plane)) (flying ((thru the) air)))	Gold Tree: ((a (large (air plane))) (flying (thru (the air))))
Pred Tree: ((a close) ((up of) (((a bowl) of) fruits)))	Gold Tree: ((a (close up)) (of ((a bowl) (of fruits))))
Pred Tree: (((the giraffe) ((((is eating) from) his) feeding)) (bowl .))	Gold Tree: ((the giraffe) ((is (eating (from (his (feeding bowl))))) .))
Pred Tree: ((((((an extremely) dirty) sink) and) toilet) ((in a) bathroom))	Gold Tree: ((an ((extremely dirty) (sink (and toilet)))) (in (a bathroom)))
Pred Tree: (((((((a delicious) lookign) pizza) has) been) cut) (and <unk>))	Gold Tree: ((a (delicious (lookign pizza))) (has (been (cut (and <unk>)))))
Pred Tree: (((a toilet) ((is shown) (with the))) ((lid up) .))	Gold Tree: ((a toilet) ((is (shown (with ((the lid) up)))) .))
Pred Tree: (((a photo) ((((looking down) into) a) toilet)) (bowl .))	Gold Tree: ((a photo) ((looking (down (into (a (toilet bowl))))) .))
Pred Tree: (((a motorcycle) ((((parked next) to) a) few)) (bicycles .))	Gold Tree: ((a motorcycle) ((parked (next (to (a (few bicycles))))) .))
Pred Tree: (((the honda) motorcycle) (((((is parked) beside) of) bikes) .))	Gold Tree: ((the (honda motorcycle)) ((is (parked (beside (of bikes)))) .))
Pred Tree: (((((a couple) of) giraffes) eating) (((out of) a) basket))	Gold Tree: (((a couple) (of giraffes)) (eating (out (of (a basket)))))
Pred Tree: ((((a man) (that is)) ((standing around) (in a))) hate)	Gold Tree: ((a man) (that (is (standing (around (in (a hate)))))))
Pred Tree: ((((dusty train) (((passing through) a) dry)) mountain) (valley .))	Gold Tree: ((dusty train) ((passing (through (a (dry (mountain valley))))) .))
Pred Tree: (((a man) ((wearing a) woven)) (((crown and) tie) .))	Gold Tree: ((a man) ((wearing (a (woven (crown (and tie))))) .))
Pred Tree: (((a woman) ((holding a) (rectangular shaped))) ((iced cake) .))	Gold Tree: ((a woman) ((holding (a ((rectangular shaped) (iced cake)))) .))
Pred Tree: (((no skateboarding) ,) (((littering ,) and) (parking (street signs))))	Gold Tree: (no (skateboarding (, (littering (, (and (parking (street signs))))))))
Pred Tree: (((((a young) woman) ((holding a) large)) decorated) (cake .))	Gold Tree: ((a (young woman)) ((holding (a (large (decorated cake)))) .))
Pred Tree: (((a busy) airport) ((with planes) (((parked on) the) runway)))	Gold Tree: (((a (busy airport)) (with planes)) (parked (on (the runway))))
Pred Tree: ((((((a guide) and) three) people) ((riding an) elephant)) .)	Gold Tree: ((a guide) (and (((three people) (riding (an elephant))) .)))
Pred Tree: ((there are) ((several airplanes) ((((parked on) the) tarmac) .)))	Gold Tree: (there ((are ((several airplanes) (parked (on (the tarmac))))) .))
Pred Tree: (((a surfer) ((with a) paddle)) (((catches a) wave) .))	Gold Tree: (((a surfer) (with (a paddle))) ((catches (a wave)) .))
Pred Tree: ((some planes) ((((((sitting on) a) tarmac) of) an) airport))	Gold Tree: ((some planes) (sitting (on ((a tarmac) (of (an airport))))))
Pred Tree: (((a wall) with) ((((a bunch) of) graffiti) (on it)))	Gold Tree: ((a wall) (with ((a bunch) ((of graffiti) (on it)))))
Pred Tree: (((a person) ((((wake boarding) on) a) small)) (wave .))	Gold Tree: ((a person) ((wake (boarding (on (a (small wave))))) .))
Pred Tree: (((a tree) (that is)) ((((sitting in) the) grass) .))	Gold Tree: ((a tree) ((that (is (sitting (in (the grass))))) .))
Pred Tree: ((an airplane) ((((parked on) the) tarmac) ((at an) airport)))	Gold Tree: ((an airplane) (parked ((on (the tarmac)) (at (an airport)))))
Pred Tree: (((((parents and) their) children) surfing) (((at the) beach) .))	Gold Tree: ((parents (and (their children))) ((surfing (at (the beach))) .))
